Number,Short description,Assignment Group,Ticket Type,First Assignment Group,Additional comments (end-user view),Work notes (internal view)
INC0010001,VaR report incorrect,Core Banking L3,Incident,Core Banking L3,"28-08-2026 20:12:52 - Andrew Chen (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

28-08-2026 14:11:52 - Andrew Chen (Additional comments (end-user view))
Hi team, quick question about the password reset request - hoping for a fast turnaround.","28-08-2026 20:31:52 - Mei Tan (Work notes (internal view))
Resolved. Applied fix for the password reset request and confirmed working with the end user. Closing ticket.

28-08-2026 17:11:52 - Mei Tan (Work notes (internal view))
Root cause identified quickly. Applying the fix for the password reset request now.

28-08-2026 14:22:52 - Mei Tan (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the password reset request."
INC0010002,Market data feed dropped,Trade Support L2,Incident,Trade Support L2,"17-08-2026 10:43:52 - Andrew Chen (Additional comments (end-user view))
Understood, following up again if there's no update soon.

17-08-2026 06:11:52 - Andrew Chen (Additional comments (end-user view))
Good day, raising this ticket regarding the VPN connection.","17-08-2026 12:13:52 - Kenji Watanabe (Work notes (internal view))
Change implemented for the VPN connection. Monitoring for 24 hours before closure.

17-08-2026 09:17:52 - Kenji Watanabe (Work notes (internal view))
Gathering more details on the VPN connection before proceeding.

17-08-2026 06:28:52 - Kenji Watanabe (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the VPN connection."
INC0010003,Access request pending approval,L1 Service Desk,Defect,L1 Service Desk,"13-07-2026 11:14:52 - Amy Chen (Additional comments (end-user view))
I'm still not happy - the purchase order mismatch is still broken and I've been ignored for too long.

13-07-2026 08:11:52 - Amy Chen (Additional comments (end-user view))
Hello, the purchase order mismatch has been broken for a while now and it's slowing my whole team down.","13-07-2026 11:41:52 - Ethan Brooks (Work notes (internal view))
Workaround provided for the purchase order mismatch but underlying issue remains unresolved.

13-07-2026 10:21:52 - Ethan Brooks (Work notes (internal view))
Investigation delayed due to dependency on another team for the purchase order mismatch.

13-07-2026 08:25:52 - Ethan Brooks (Work notes (internal view))
Acknowledged the request. Reviewing the purchase order mismatch now and will update shortly."
INC0010004,User locked out of application,Trade Support L2,Defect,Trade Support L2,"23-07-2026 10:47:52 - Sara Ibrahim (Additional comments (end-user view))
I'm still not happy - the software license renewal is still broken and I've been ignored for too long.

23-07-2026 05:11:52 - Sara Ibrahim (Additional comments (end-user view))
Hello, the software license renewal has been broken for a while now and it's slowing my whole team down.","23-07-2026 12:22:52 - Liam O'Connor (Work notes (internal view))
Workaround provided for the software license renewal but underlying issue remains unresolved.

23-07-2026 07:56:52 - Liam O'Connor (Work notes (internal view))
Investigation delayed due to dependency on another team for the software license renewal.

23-07-2026 05:50:52 - Liam O'Connor (Work notes (internal view))
Acknowledged the request. Reviewing the software license renewal now and will update shortly."
INC0010005,Report export returns blank file,Trade Support L2,Service Request,Trade Support L2,"17-08-2026 19:10:52 - Nadia Farouk (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

17-08-2026 15:11:52 - Nadia Farouk (Additional comments (end-user view))
Hi team, quick question about the network latency - hoping for a fast turnaround.","17-08-2026 20:23:52 - Fatima Al-Sayed (Work notes (internal view))
Fix deployed and verified for the network latency. User confirmed satisfied. Marking resolved.

17-08-2026 17:03:52 - Fatima Al-Sayed (Work notes (internal view))
Root cause identified quickly. Applying the fix for the network latency now.

17-08-2026 15:34:52 - Fatima Al-Sayed (Work notes (internal view))
Acknowledged the request. Reviewing the network latency now and will update shortly."
INC0010006,Sanctions screening delayed,Core Banking L3,Defect,Core Banking L3,"07-08-2026 04:44:52 - Linda Cox (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

07-08-2026 02:11:52 - Linda Cox (Additional comments (end-user view))
Hi, could someone look into the email service outage when you get a chance? Thanks in advance!","07-08-2026 05:47:52 - Omar Siddiqui (Work notes (internal view))
Fix deployed and verified for the email service outage. User confirmed satisfied. Marking resolved.

07-08-2026 03:33:52 - Omar Siddiqui (Work notes (internal view))
Root cause identified quickly. Applying the fix for the email service outage now.

07-08-2026 02:20:52 - Omar Siddiqui (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the email service outage."
INC0010007,Trade amendment not syncing,Risk & Compliance Ops,Defect,Risk & Compliance Ops,"15-08-2026 19:16:52 - Owen Blake (Additional comments (end-user view))
Okay, please keep me posted on the VPN connection.

15-08-2026 16:11:52 - Owen Blake (Additional comments (end-user view))
Hello, I'm having an issue with the VPN connection. Please advise.","15-08-2026 20:43:52 - Kenji Watanabe (Work notes (internal view))
Change implemented for the VPN connection. Monitoring for 24 hours before closure.

15-08-2026 18:30:52 - Kenji Watanabe (Work notes (internal view))
Gathering more details on the VPN connection before proceeding.

15-08-2026 16:18:52 - Kenji Watanabe (Work notes (internal view))
Picked up this ticket. Starting investigation into the VPN connection."
INC0010008,Recon job failed overnight,Risk & Compliance Ops,Incident,Risk & Compliance Ops,"20-07-2026 03:10:52 - Tommy Gore (Additional comments (end-user view))
Understood, following up again if there's no update soon.

19-07-2026 22:11:52 - Tommy Gore (Additional comments (end-user view))
Hi team, requesting assistance with the network latency.","20-07-2026 05:00:52 - Fatima Al-Sayed (Work notes (internal view))
Change implemented for the network latency. Monitoring for 24 hours before closure.

19-07-2026 23:30:52 - Fatima Al-Sayed (Work notes (internal view))
Investigation in progress on the network latency. Will provide an update within SLA.

19-07-2026 22:25:52 - Fatima Al-Sayed (Work notes (internal view))
Picked up this ticket. Starting investigation into the network latency."
INC0010009,Role permissions incorrect,Risk & Compliance Ops,Service Request,Risk & Compliance Ops,"05-08-2026 04:38:52 - Nadia Farouk (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

05-08-2026 02:11:52 - Nadia Farouk (Additional comments (end-user view))
Hi, could someone look into the billing invoice discrepancy when you get a chance? Thanks in advance!","05-08-2026 06:34:52 - James Cole (Work notes (internal view))
Fix deployed and verified for the billing invoice discrepancy. User confirmed satisfied. Marking resolved.

05-08-2026 03:29:52 - James Cole (Work notes (internal view))
Root cause identified quickly. Applying the fix for the billing invoice discrepancy now.

05-08-2026 02:47:52 - James Cole (Work notes (internal view))
Acknowledged the request. Reviewing the billing invoice discrepancy now and will update shortly."
INC0010010,Risk limit breach not alerting,Core Banking L3,Incident,Core Banking L3,"26-08-2026 05:28:52 - Nadia Farouk (Additional comments (end-user view))
Understood, following up again if there's no update soon.

26-08-2026 01:11:52 - Nadia Farouk (Additional comments (end-user view))
Good day, raising this ticket regarding the instance upgrade.","26-08-2026 07:21:52 - Mei Tan (Work notes (internal view))
Change implemented for the instance upgrade. Monitoring for 24 hours before closure.

26-08-2026 02:04:52 - Mei Tan (Work notes (internal view))
Investigation in progress on the instance upgrade. Will provide an update within SLA.

26-08-2026 01:32:52 - Mei Tan (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the instance upgrade."
